title,publish_date,authors,url,keywords,summary,word_count,category,category_confidence,category_alt,category_alt_confidence,,category_clean
The revolutionary chipmaker: Your guide to TSMC,2020-07-07 10:30:00+00:00,['Meaghan Tobin'],https://restofworld.org/2020/taiwan-chipmaker-guide-to-tsmc/,"['chips', 'guide', 'companies', 'manufacturing', 'semiconductor', 'chang', 'inside', 'world', 'chipmaker', 'company', 'revolutionary', 'taiwan', 'tsmc']","“There’s no avoiding it.”TSMC fundamentally shaped the semiconductor industry — which makes tiny slivers of silicon into the computer chips inside electronic devices.
Over the past three decades, TSMC has invested in 18 state-of-the-art chipmaking facilities — called “fabs,” for “fabrication facility” — in Taiwan.
“TSMC is an absolutely critical supplier to those companies who want to get the most advanced chips available,” Puhakka said.
Maurice Tsai/Bloomberg via Getty ImagesFactbox Name Taiwan Semiconductor Manufacturing Company Founder Morris Chang HQ Hsinchu, Taiwan Founded 1987 Clients 499 No.
Though the vast majority of their production has always taken place in their 18 fabs in Taiwan, TSMC operates two fabs in China and an older subsidiary facility in Washington state.",1173,/Computers & Electronics,0.709999979,,,,Computers & Electronics
Tour of the D3 ecosystem,11/11/20 0:00,['Nathan Yau'],https://flowingdata.com/2020/11/11/tour-of-the-d3-ecosystem/,"['lot', 'javascript', 'library', 'talk', 'visualization', 'johnson', 'intimidating', 'ecosystem', 'tour', 'useful', 'provides', 'd3']","D3.js, a flexible JavaScript library useful for visualization, can feel intimidating at first.
It does a lot.
So Ian Johnson gave a talk on what the library provides, along with a tour of the essentials.",36,/Science,0.819999993,,,,Science
System Design Interview Questions – Concepts You Should Know,2020-04-01 15:21:00+00:00,[],https://www.freecodecamp.org/news/systems-design-for-interviews/,"['design', 'database', 'requests', 'need', 'interview', 'concepts', 'data', 'request', 'server', 'load', 'questions', 'client', 'servers', 'system', 'know']","This in-depth guide will help prepare you for the System Design interview, by teaching you basic software architecture concepts.
A client is simply a machine or system that requests information, and a server is the machine or system that responds with information.
When a server requests data from another server then the first server is also a client, and the second server is the server (I know, tautologies).
If a system is robust enough to handle failures in the network, database, servers etc, then it can generally be considered to be a fault-tolerant system - which makes it an available system.
And if yours is a very large and highly trafficked system, then you may need load balancers for load balancers...",11833,/Computers & Electronics,0.800000012,,,,Computers & Electronics
,,,resources.](https://github.com/madd86/awesome-system-design),,,,,,,,,
On Particle Physics,,[],https://parametric.press/issue-01/on-particle-physics/,"['particle', 'magnetic', 'fundamental', 'different', 'energy', 'v', 'particles', 'field', 'physics', 'matter']","ParticlePhysics ParticlePhysics On Particle Physics May 1, 2019 Created by Riccardo Maria Bianchi Metadata Source CodeOffline ArchiveDOI ParticlePhysics A CERN particle physicist walks through the history and science of particle physics, and why you should care about it—even outside of the laboratory.
The study of these extremely tiny objects and of the forces which bind them is subnuclear physics, also known as particle physics.
The discovery of the electron marked the beginning of particle physics.
Rewriting the formula to isolate the velocity of the particle we find this: v = 2 q ( V 2 − V 1 ) m v = \sqrt{ \frac{2q(V_2-V_1)}{m}} v = m 2 q ( V 2 ​ − V 1 ​ ) ​ ​ The expression describes the velocity of a particle, v v v , given the potential difference of an electric field.
The latter are used in machines for cutting-edge research in particle physics, such as the Large Hadron Collider (LHC) at CERN.",3439,/Science/Physics,0.99000001,,,,Science
The “Backendification” of Frontend Development,,['Originally Published'],https://hackernoon.com/the-backendification-of-frontend-development-62f218a773d4,"['tools', 'working', 'maintenance', 'business', 'backendification', 'frontend', 'frameworks', 'developers', 'development', 'bootstrap', 'css', 'youre']","While this can be done with React, Vue.js offers a superior approach to achieving this which invites better collaboration with more traditional frontend developers.
Since then, I’ve grown more wary of frontend tools and their rampant proliferation.
It made me wonder:Are many of the modern frontend tools and practices just technical debt in disguise?
They gained powers that matched and even exceeded the abilities of a large contingency of traditional frontend developers.
ProblemsElusive NinjasIn 2014, frontend developers were objectively cheaper than backend developers.",3430,/Computers & Electronics/Programming,0.730000019,/Science/Computer Science,0.720000029,,Computers & Electronics
The case for a learned sorting algorithm,10/19/20 0:00,[],https://blog.acolyer.org/2020/10/19/the-case-for-a-learned-sorting-algorithm/,"['sort', 'item', 'f', 'position', 'elements', 'case', 'bucket', 'model', 'spill', 'sorting', 'algorithm', 'learned']","The case for a learned sorting algorithm, Kristo, Vaidya, et al., SIGMOD’20We’ve watched machine learning thoroughly pervade the web giants, make serious headway in large consumer companies, and begin its push into the traditional enterprise.
The solution is to change the first pass of Learned Sort into a cascading Bucket Sort.
The first phase of learned sort is a cascading Bucket Sort.
sorting $2^{32}$ elements with 32-bit keys), then Learned Sort performs almost identically to Radix Sort.
ExtensionsThe paper also describes several extensions to Learned Sort including sorting in-place, sorting on other key types (strings initially), and improving performance for datasets with many duplicate items.",1583,/Science/Mathematics,0.980000019,,,,Science
Emerging Architectures for Modern Data Infrastructure,10/15/20 0:00,"['Matt Bornstein', 'Martin Casado', 'Jennifer Li', 'Ali Yahya', 'Sonal Chokshi']",https://a16z.com/2020/10/15/the-emerging-architectures-for-modern-data-infrastructure/?utm_campaign=Data_Elixir&utm_source=Data_Elixir_308,"['companies', 'infrastructure', 'modern', 'architectures', 'data', 'business', 'machine', 'systems', 'architecture', 'emerging', 'cases', 'a16z', 'including']","They range from the pipes that carry data, to storage solutions that house data, to SQL engines that analyze data, to dashboards that make data easy to understand – from data science and machine learning libraries, to automated data pipelines, to data catalogs, and beyond.
Data infrastructure includes…TABLE OF CONTENTSMassive Growth of the Data Infrastructure MarketOne of the primary motivations for this report is the furious growth data infrastructure has undergone over the last few years.
According to Gartner, data infrastructure spending hit a record high of $66 billion in 2019, representing 24% – and growing – of all infrastructure software spend.
Venture capital raised by select data infrastructure startups 2015-2020The race towards data is also reflected in the job market.
A Unified Data Infrastructure ArchitectureDue to the energy, resources, and growth of the data infrastructure market, the tools and best practices for data infrastructure are also evolving incredibly quickly.",2132,,,,,,
Python For Feature Film,,[],https://www.gfx.dev/python-for-feature-film,"['animators', 'scene', 'data', 'used', 'using', 'charge', 'python', 'feature', 'film', 'department', 'effects']","This post was originally part of my series on Python for Feature Film on my personal site, but is being ported here with minor changes.
To that end, I’ve written a few blog posts about how I’ve used Python on several major films that I’ve been lucky enough to work on.
The Feature Film PipelineThe biggest use of Python is in our feature film pipeline.
An overview of the Film Production PipelineHere you can see the various stages of a visual effects film or animated feature.
This can get more complex though with using Python to create custom deformers or interactive tools, like this demo from Hans Godard demonstrates.",2784,/Science/Computer Science,0.680000007,/Arts & Entertainment/Comics & Animation,0.649999976,,Science
,,,code.,,,,,,,,,
How To Contribute To Open-Source Projects As A Beginner,,[],https://catalins.tech/how-to-contribute-to-open-source-projects-as-a-beginner,"['git', 'create', 'push', 'beginner', 'request', 'fork', 'changes', 'branch', 'project', 'opensource', 'contribute', 'projects', 'repository', 'pull']","Fast forward, I made my first open-source contributions to DEV, and I want to share the Git workflow required to make open-source contributions.
However, you still have to do a few things before opening a pull request.
If that does not happen, you can go to the repo and click on Compare & pull request.
Figure 4By clicking on Compare & pull request, a new window opens where you can enter a title and a description for your pull request.
After adding all the necessary information, click the button saying ""Create Pull Request"".",1313,/Computers & Electronics,0.779999971,,,,Computers & Electronics
30 Years of American Anxieties,,[],https://pudding.cool/2018/11/dearabby/,"['letters', 'sleeping', 'readers', 'sex', 'sexual', 'questions', 'topic', 'write', 'surrounding', 'american', 'anxieties', '30', 'abby']","Whether it’s because they’re “addicted to adult porn movies” or have simply lost interest, sexually frigid husbands were the most common sex-related concern.
As the internet began to grow in popularity, questions about pornographic content increased, particularly surrounding significant others’ questionable browsing habits.
For many years, however, the topic of sex in popular culture was a contentious one, as evinced by parents’ complaints in Dear Abby.
Many of the letters that Abby selected for print focused on misconceptions surrounding transmission, but also included panicked requests for assurances that the writer wasn’t at risk.
Although sex among the elderly hasn’t commonly been a topic for discussion, several Dear Abby readers have boasted about the benefits of amorous activity in their later years.",305,/People & Society,0.569999993,,,,People & Society
The Effort to Build the Mathematical Library of the Future,,"['Kevin Hartnett', 'Kevin Hartnet']",https://www.wired.com/story/the-effort-to-build-the-mathematical-library-of-the-future/,"['future', 'library', 'mathematical', 'mathematicians', 'build', 'using', 'lean', 'prove', 'mathematics', 'effort', 'morrison', 'called', 'statement', 'program', 'proof']","Every day, dozens of like-minded mathematicians gather on an online forum called Zulip to build what they believe is the future of their field.
They’re all devotees of a software program called Lean.
You Plan, Lean ChopsOver the summer, a group of experienced Lean users ran an online workshop called Lean for the Curious Mathematician.
Morrison’s choice reflected something basic about using Lean: The user has to come up with the big idea of the proof on their own.
As he worked through his proof, Morrison ran a tactic called “library search.” It trawled Lean’s database of mathematical results and returned some theorems that it thought could fill in the details of a particular section of the proof.",737,/Science/Mathematics,0.949999988,,,,Science
The Frailest Thing: Ten Years of Thinking About the Meaning of Technology,,[],https://gumroad.com/l/CWRfq,"['frailest', 'sacasas', 'moral', 'book', 'thinking', 'writing', 'meaning', 'political', 'technology', 'work', 'thing']","What you have here are 100 dispatches spanning that decade of thinking and writing about how technology sustains, mediates, and conditions our experience.
These are the essays that, in my view, have remained useful exercises in thinking about the meaning of technology.
The Frailest Thing will give them the brief and incisive reflections that can daily clarify and console daily lives.""
The Frailest Thing continued to provoke new thoughts from my students year after year, prompting them to spend time with the works of Arendt, Ellul, Mumford and others whose echoes in The Frailest Thing gave historical depth and texture to a subject that is so often treated as if it were invented yesterday.
The Frailest Thing showed us what contemporary writing and thinking about technology, culture, and ethics could be, and still can be.""",975,,,,,,
The Science Behind Nike's New ZoomX Vaporfly Next% Marathon Shoe,,"['Robbie Gonzalez', 'Robbie Gonzale']",https://www.wired.com/story/the-science-behind-nikes-new-vaporfly-next-marathon-shoe/?mc_cid=6cbb06bc67&mc_eid=e7c75333ad,"['vaporflys', 'runners', 'race', 'shoe', 'vaporfly', 'times', 'zoomx', 'science', 'faster', 'nikes', 'shoes', 'marathon']","At Sunday's London Marathon, Eliud Kipchoge, the greatest marathoner on earth, will toe the line in what could become the most controversial shoe his sport has ever known: Nike's ZoomX Vaporfly Next%.
(Observe the sea of red Vaporflys among the elite field at the 2018 London Marathon.)
But the Next% could change that: Nike claims that the shoe saves runners even more energy than its predecessors.
The new Vaporfly's superior energy savings could translate to even faster times.
WIRED's in-house analysis found that runners of the 2017 New York Marathon finished faster if they were wearing Vaporflys.",627,/Sports/Individual Sports,0.930000007,/Hobbies & Leisure,0.850000024,,Sports
,,[],https://www.libraryofsocialscience.com/assets/pdf/freud_beyond_the_pleasure_principle.pdf,[],,0,/Computers & Electronics/Software,0.819999993,,,,Computers & Electronics
research!rsc: Our Software Dependency Problem,,['Russ Cox'],https://research.swtch.com/deps,"['packages', 'problem', 'pcre', 'researchrsc', 'tests', 'bugs', 'work', 'code', 'dependencies', 'dependency', 'software', 'package']","Our Software Dependency Problem PDF Posted on Wednesday, January 23, 2019.
Today, the situation is reversed: developers reuse software written by others every day, in the form of software dependencies, and the situation goes mostly unexamined.
A dependency manager (sometimes called a package manager) automates the downloading and installation of dependency packages.
No matter what the expected cost, experiences with larger dependencies suggest some approaches for estimating and reducing the risks of adding a software dependency.
But the Copay and Equifax attacks are clear warnings of real problems in the way we consume software dependencies today.",5824,/Computers & Electronics/Programming,0.99000001,/Science/Computer Science,0.99000001,,Computers & Electronics
Unsupported Browser,,[],https://www.hoopladigital.com/browse/movie/popular?page=1,"['unsupported', 'try', 'using', 'update', 'unfortunately', 'support', 'popular', 'browser', 'updated', 'wont']","Improve your experienceIt seems you are using an unsupported browser - or perhaps one that needs to be updated.
Unfortunately, hoopla won't function as intended in your browser.
Please update it and try again.
We support these popular browsers:",40,,,,,,
,,[],https://www.fpl.fs.fed.us/documnts/fplgtr/fpl_gtr190.pdf,[],,0,,,,,,
Online courses,,[],https://www.moma.org/research-and-learning/classes,"['contemporary', 'free', 'artists', 'online', 'course', 'art', 'courses', 'youll', 'specialization', 'momas']","MoMA’s online courses are for anyone who would like to learn more about modern and contemporary art, and no prior knowledge or experience is required.
To register for online courses, follow the links above for the course(s) you wish to enroll in.
PaymentPaymentAll of MoMA’s online courses can be audited free of charge, or you can choose to pay for a certificate of completion.
How often are online courses offered?
All MoMA online courses are available on an ongoing basis.",1087,/Jobs & Education/Education,0.970000029,,,,Jobs & Education
Visualizing Science: How Color Determines What We See,,[],https://eos.org/features/visualizing-science-how-color-determines-what-we-see?utm_campaign=Data_Elixir&utm_source=Data_Elixir_287,"['color', 'data', 'szafir', 'visualization', 'research', 'visualizations', 'samsel', 'visualizing', 'science', 'scientists', 'determines', 'hue', 'maps']","At Los Alamos, data visualizations are as ubiquitous as the sagebrush that embroiders the nearby desert.
Munsell’s research produced the first perceptually ordered color space—a three-dimensional plot in which the axes represent hue (color), value (lightness or darkness), and chroma (intensity of color) [Moreland, 2016].
Absolute color spaces define color in terms of human perception.
“Data visualization is a language, and, foundationally, you’re trying to tell a story.
“Data visualization is a language, and, foundationally, you’re trying to tell a story.",2830,,,,,,
An Expert Called Lindy,2017-03-10 13:55:40.279000+00:00,['Nassim Nicholas Taleb'],https://medium.com/incerto/an-expert-called-lindy-fdb30f146eaf,"['idea', 'fragility', 'need', 'lindy', 'expert', 'things', 'doing', 'real', 'called', 'game', 'risk', 'effect']","The heuristic became known as the Lindy Effect.
Let me warn the reader: while the Lindy effect is one of the most useful, robust, and universal heuristics I know, the cheesecake is… much less distinguished.
Odds are the deli will not survive, by the Lindy Effect.
Actually the theory of fragility directly leads to the Lindy Effect.
A few more details –for those interested in the intricacies, the Lindy Effect has been covered at length in Antifragile.",3067,,,,,,
Ken Wallis,,[],https://en.wikipedia.org/wiki/Ken_Wallis?mc_cid=843d068cc8&mc_eid=e7c75333ad,"['design', 'edit', 'raf', 'autogyro', 'ken', 'bomber', 'world', 'flying', 'wallis', 'eye', 'record']","For the Hong Kong lawn bowler and footballer, see Ken Wallis (bowls)Wing Commander Kenneth Horatio Wallis (26 April 1916 – 1 September 2013)[1] was a British aviator, engineer, and inventor.
Using only Mignet's book, Wallis gathered the materials required, and started to build his own Flying Flea.
Military career [ edit ]Wallis was keen to join the RAF, and applied for their Volunteer Reserve Service, but he was turned down due to a defective right eye.
Wallis held most of the autogyro world records during his autogyro flying career.
Old Buckenham Airport held a memorial event on 29 September at the request of the Wallis family: ""A Celebration of the Life of Wing Commander Ken Wallis"".",938,/Hobbies & Leisure,0.610000014,/Travel/Air Travel,0.569999993,,Hobbies & Leisure
The robot revolution has arrived,2020-08-18 05:00:00-04:00,[],https://www.nationalgeographic.com/magazine/2020/09/the-robot-revolution-has-arrived-feature/,"['arrived', 'human', 'hand', 'used', 'revolution', 'robots', 'soft', 'object', 'humans', 'work', 'tasks', 'robot']","Humanoid hand This robot has ultrasensitive touch sensors and moves much like a human hand does.
Biomimetic hand It mimics the human hand with artificial joint capsules and rubber ligaments and tendons.
Humanoid hand This robot has ultrasensitive touch sensors and moves much like a human hand does.
Humanoid hand This robot has ultrasensitive touch sensors and moves much like a human hand does.
When the robot grasps an apple, a flower, or a human hand, the fingers naturally take the shape of the thing grasped.",7933,/Science/Engineering & Technology/Robotics,0.930000007,,,,Science
Overreacted,,[],https://overreacted.io/,"['ui', 'talk', '16', '2018', 'tech', 'read', '2019', 'overreacted', 'min', 'react', 'let']","The WET Codebase July 13, 2020 • ☕️ 1 min read Come waste your time with me.
Goodbye, Clean Code January 11, 2020 • ☕️ 5 min read Let clean code guide you.
Algebraic Effects for the Rest of Us July 21, 2019 • ☕️☕️☕️ 16 min read They’re not burritos.
Making setInterval Declarative with React Hooks February 4, 2019 • ☕️☕️☕️ 16 min read How I learned to stop worrying and love refs.
December 2, 2018 • ☕️☕️☕️ 16 min read We talk about classes, new, instanceof, prototype chains, and API design.",565,/Jobs & Education/Education,0.529999971,/Reference,0.519999981,,Jobs & Education
"Grolier, Koch, Kidd, Horowitz, Budman & Oklahoma!",4/2/20 0:00,['Nigel Beale'],http://literarytourist.org/2020/04/02/grolier-koch-kidd-horowitz-budman-oklahoma/,"['horowitz', 'room', 'pretty', 'way', 'grolier', 'book', 'listen', 'good', 'koch', 'glenn', 'budman', 'oklahoma', 'morning', 'kidd', 'conversation']","She’d spent the morning at The National Museum of the American Indian before stopping in at the nearby Nordstrom Rack.
The performance was pretty good.
Aside from an oddly delirious modern dance routine that intruded rather jarringly, and nonsensically, into the action, the play was pretty good.
The Grolier Club is pretty close to Glenn Horowitz’s office, so I thought I’d pay him a visit.
From Glenn’s I headed for Grenwich Village where I was scheduled to meet Matthew Budman, author of Book Collecting Now.",1308,/Arts & Entertainment,0.870000005,,,,Arts & Entertainment
,,[],http://blog.playdo.io/posts/,[],,0,,,,,,
